State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.33507	1.36695	1.38758	1.42508	1.39320	1.43820	1.43070	1.47571	1.47383	1.52071	1.50383	1.62571	1.65197	1.76072	1.79260	1.86760	1.82447	1.79447	1.83760	1.80760	1.85823
2	1.64722	1.47757	1.52683	1.48852	1.52683	1.59250	1.76762	1.83876	1.87707	1.83329	2.01388	1.95368	2.04124	2.12333	2.13975	2.18353	2.27656	2.20542	2.13427	2.15616	2.16164
3	2.26668	2.21780	2.09561	2.02841	2.04673	2.02841	2.05895	2.25446	2.32167	2.18115	2.19948	2.21169	2.12005	2.14449	2.19337	2.07117	2.10783	2.15060	2.23613	2.22391	2.03451
4	4.28690	4.31739	4.18670	4.04293	3.85559	3.74232	3.58113	3.47221	3.32409	3.32844	3.24567	3.28488	3.32409	3.36765	3.50707	3.49835	3.48528	3.54192	3.41993	3.46350	3.55063
5	3.83377	3.88637	3.93897	3.96235	3.90390	3.84546	3.88053	3.90975	3.91559	3.71105	3.58248	3.36624	3.17338	3.00975	2.86949	2.81689	2.85780	2.89286	2.92208	2.86949	2.75845
6	0.77675	0.72201	0.71680	0.70637	0.70376	0.70637	0.69594	0.66076	0.65033	0.63599	0.62687	0.62557	0.62035	0.59299	0.58777	0.58126	0.58126	0.58126	0.57995	0.59690	0.61123
7	1.68538	1.70043	1.69635	1.70808	1.73078	1.73512	1.75374	1.75705	1.78052	1.83051	1.88075	1.91621	1.96058	2.00190	2.03837	2.07204	2.11795	2.14040	2.15978	2.16871	2.17304
8	4.97332	4.99108	5.00292	4.96909	4.93443	4.89723	4.83719	4.78224	4.69684	4.52604	4.34341	4.15825	3.98322	3.79467	3.60359	3.43026	3.24171	3.10812	3.00073	2.90265	2.82318
9	1.35008	1.35483	1.36764	1.35910	1.35483	1.36005	1.35625	1.35625	1.34438	1.33157	1.30736	1.29739	1.28789	1.26511	1.25229	1.24185	1.22760	1.20957	1.21621	1.21431	1.22333
10	0.49867	0.49650	0.49650	0.49893	0.50012	0.50100	0.50162	0.50317	0.50617	0.51051	0.51522	0.51904	0.52246	0.52613	0.53016	0.53445	0.53802	0.54376	0.54567	0.55007	0.55260
