State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.61469	2.81328	2.94236	2.85631	2.77853	2.66103	2.29696	1.68300	1.31893	1.26929	1.22791	1.12035	1.11869	1.17330	1.17992	1.27425	1.44305	1.65652	1.89152	1.92792	1.84022
2	2.83023	2.99927	3.16832	3.45810	3.69476	3.85414	4.21154	4.17290	3.43395	2.75296	2.22651	2.04298	1.85945	1.64211	1.57450	1.68075	1.75320	1.70973	1.60348	1.62280	1.62280
3	4.35679	5.46217	6.99351	9.56014	13.13508	16.75316	20.09085	19.90752	16.93649	18.18745	18.38156	10.51453	9.53857	9.85131	10.96747	12.30470	11.46893	9.15573	7.00430	5.37050	4.29748
4	5.40980	6.32489	7.79749	10.34667	14.52994	20.28578	27.52191	36.51516	44.16655	45.40077	46.33892	52.19858	51.84100	49.19570	43.11689	32.50107	22.27744	15.28739	10.36205	7.41300	5.54052
5	10.32069	11.09435	11.40382	11.13562	9.31492	6.74120	4.27063	2.92961	2.30552	2.00637	1.96511	2.03732	2.29521	3.68264	8.63926	18.61437	29.02790	34.21661	35.99089	34.86134	31.93688
6	1.37333	1.14329	0.96731	0.76948	0.63951	0.56705	0.51989	0.48423	0.46008	0.45778	0.46123	0.46008	0.48193	0.49573	0.50609	0.55669	0.68667	1.09614	1.71494	2.40736	3.14118
7	1.74224	1.68282	1.59908	1.49013	1.34450	1.17725	0.97939	0.82115	0.72728	0.69510	0.67596	0.68249	0.70027	0.73516	0.77320	0.81867	0.88553	0.98772	1.07303	1.16397	1.24140
8	0.79471	0.72979	0.67159	0.63279	0.59921	0.56339	0.54324	0.53055	0.52832	0.53279	0.54548	0.56190	0.57383	0.58577	0.59846	0.62308	0.65069	0.69621	0.78053	0.88724	1.04171
9	1.30631	1.32181	1.33731	1.34317	1.34862	1.35155	1.35155	1.34359	1.34192	1.35742	1.36454	1.38214	1.40518	1.42026	1.43115	1.42948	1.42696	1.41733	1.41146	1.39889	1.38423
10	0.58890	0.57823	0.56572	0.54743	0.51968	0.48391	0.44152	0.40063	0.37782	0.36769	0.36358	0.36048	0.36477	0.37180	0.38101	0.39128	0.40209	0.41455	0.42368	0.43025	0.43718
