State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.86477	0.51477	1.16259	1.07340	1.50211	1.22795	1.90764	0.44396
2	0.63894	0.69083	1.37571	1.08399	2.01409	2.22658	2.58724	0.30400
3	0.57231	17.30627	2.84666	0.96362	2.19971	18.38213	11.20714	0.50085
4	0.80260	51.49220	7.70304	1.57240	3.24601	46.33651	23.04758	0.18386
5	0.59831	1.33232	3.02035	2.19230	3.58285	1.96517	11.05622	0.15907
6	2.68297	0.33305	0.80052	2.24340	0.62694	0.46124	0.88987	0.20147
7	13.70947	0.78616	1.71442	1.60861	1.88095	0.67598	1.10032	0.36338
8	4.13550	1.06082	5.31431	2.23521	4.34218	0.54550	0.70181	0.20862
9	7.36579	1.64621	1.23313	0.98905	1.30749	1.36458	1.45977	1.18248
10	67.62934	0.27185	0.45280	0.73311	0.51527	0.36359	0.47517	1.23251
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
