State (Emission order)	H3k36me3	H3k79me2	H3k4me3	H3k9ac	H3k27ac	H2az	H3k4me2	H3k4me1	H3k9me3	H3k27me3
1	0.013844874932338226	0.030899864801822018	0.004583751108444964	0.02489341026271511	0.09482273877691368	0.07334757492460746	0.147523356282252	0.6049213503517888	0.00792654913512918	0.003548573124094638
2	0.026932238473336166	0.06380707599433844	0.2810925007905645	0.39331474476259104	0.8814244407189331	0.38352093143576677	0.817879978887968	0.9079370004297703	0.009073544784942947	0.0027018891155495815
3	0.012748981097820664	0.04286985958245993	0.36307690246504887	0.15239832178372595	0.05954629580839832	0.37622405479173454	0.7169086045245547	0.3445134684479497	0.0416751425560207	0.05815446911021259
4	0.012680234537227116	0.3948791790890225	0.9908951025369693	0.9779247690687956	0.9274503922229491	0.6481380046694835	0.9118001963773569	0.2972171156996834	0.00840393641066958	0.007546271540118611
5	0.26070518080343685	0.8527968855076791	0.42890754798369773	0.22242000640808632	0.19755908677195877	0.0071340330469597075	0.8284684702122564	0.5825249246405824	0.009391379961054951	0.0036780417416486006
6	0.1383853340703812	0.6078724433316898	0.0014894796402985296	0.00937045019647721	0.004746572588079575	7.404023649013506E-4	0.014099703446597242	0.05306477390976417	0.007424723685429959	0.0010763077655243263
7	0.016653132368842402	0.02637290216469108	7.261855637824177E-4	0.007887131168605456	8.559018933472522E-4	0.00417842491351175	6.478418930352058E-4	0.004325384421217097	0.004364928917266079	0.001964451954212746
8	0.3994171539369726	0.05620275097565427	0.0018786192657088176	0.01363051871871956	0.004109053148809691	0.0011355895095611537	0.0013561676878709652	0.007098301880712173	0.00938381975537042	0.00234820727049462
9	2.0891940627706183E-4	0.009605521840696922	0.0018563176498400762	0.010646199664472935	6.322548365459899E-4	0.015163161609586225	0.0019938734651069262	0.0022902520741760555	0.02698666552518527	0.2591626811111326
10	1.6744113244414574E-4	0.0028269516849303675	1.5860899858534118E-4	0.0011649626270864696	7.404908885736164E-5	0.003153851826280737	3.1251119733739725E-4	6.142835639990183E-4	0.004693184468780579	0.0039197014316270365
